Date,Open,High,Low,Close,Adj Close,Volume
01-02-2023,194.190002,194.449997,188.75,190.479996,190.479996,112370
02-02-2023,176.009995,196.199997,176.009995,190.839996,190.839996,28540
03-02-2023,192.289993,193.240005,190.610001,192.820007,192.820007,20325
06-02-2023,192.600006,193.800003,191.520004,192.059998,192.059998,30354
07-02-2023,192.339996,192.940002,190.990005,191.710007,191.710007,22714
08-02-2023,197.449997,197.449997,191.869995,193.339996,193.339996,11748
09-02-2023,193.339996,194.389999,192.610001,194.199997,194.199997,17922
10-02-2023,194.199997,194.199997,192.369995,193.289993,193.289993,16836
13-02-2023,193.320007,193.570007,192.059998,192.720001,192.720001,24036
14-02-2023,193.020004,194.669998,192.5,194.330002,194.330002,55862
15-02-2023,194.889999,195.25,193.800003,195.059998,195.059998,14818
16-02-2023,195.100006,196.5,195.100006,195.669998,195.669998,52778
17-02-2023,195.669998,195.669998,194,194.679993,194.679993,17213
20-02-2023,200.5,200.5,193.25,193.649994,193.649994,36425
21-02-2023,194.389999,194.389999,193.25,193.380005,193.380005,28931
22-02-2023,193.289993,193.289993,190.339996,190.610001,190.610001,59867
23-02-2023,190.779999,191.169998,189.490005,190.309998,190.309998,30189
24-02-2023,196,196,189.009995,189.509995,189.509995,56024
27-02-2023,189.889999,189.899994,187.75,188.860001,188.860001,66816
28-02-2023,189.589996,189.589996,186.899994,187.699997,187.699997,38336
01-03-2023,190,190,187.449997,188.850006,188.850006,59641
02-03-2023,188.850006,194.5,187.839996,188.039993,188.039993,61432
03-03-2023,188.410004,190.789993,188.410004,190.649994,190.649994,13849
06-03-2023,190.639999,194.470001,190,192.389999,192.389999,78228
08-03-2023,191.990005,192.5,191.410004,192.300003,192.300003,24209
09-03-2023,192.889999,192.889999,191.050003,191.289993,191.289993,44942
10-03-2023,190.009995,190.009995,188.020004,188.960007,188.960007,72164
13-03-2023,189.490005,189.990005,185.75,186.130005,186.130005,85258
14-03-2023,186.389999,186.889999,184.509995,185.25,185.25,64177
15-03-2023,190.800003,190.800003,184,184.330002,184.330002,50061
16-03-2023,184.690002,184.990005,182.899994,184.339996,184.339996,42896
17-03-2023,184.710007,185.940002,183.910004,185.440002,185.440002,57025
20-03-2023,185.5,185.699997,179.990005,184.190002,184.190002,90393
21-03-2023,184.160004,185.970001,184.160004,185.740005,185.740005,20979
22-03-2023,186.789993,186.800003,185.25,185.789993,185.789993,10744
23-03-2023,186,186.419998,184.339996,184.979996,184.979996,15814
24-03-2023,185.490005,185.490005,183.5,183.910004,183.910004,50707
27-03-2023,184.490005,185,183,184.25,184.25,81123
28-03-2023,184.259995,184.789993,183.5,183.949997,183.949997,51922
29-03-2023,184.789993,185,183.830002,184.880005,184.880005,33244
31-03-2023,185.009995,188,185,187.949997,187.949997,57351
03-04-2023,189.190002,189.5,187.610001,188.110001,188.110001,42965
05-04-2023,188.990005,190.300003,188.110001,190.029999,190.029999,23722
06-04-2023,190.589996,191.300003,189.619995,191.039993,191.039993,29391
10-04-2023,191.039993,192.399994,190.419998,190.970001,190.970001,63445
11-04-2023,191,192,191,191.809998,191.809998,20230
12-04-2023,192.789993,192.789993,191.880005,192.600006,192.600006,10166
13-04-2023,192.990005,194,191.699997,193.580002,193.580002,46082
17-04-2023,193.580002,193.990005,190.809998,192.270004,192.270004,87277
18-04-2023,192.990005,192.990005,191.25,191.649994,191.649994,68403
19-04-2023,192,192,190.470001,191,191,20461
20-04-2023,191.789993,191.789993,190.309998,190.809998,190.809998,22083
21-04-2023,191.089996,191.399994,190.110001,191.100006,191.100006,15202
24-04-2023,192.600006,194.949997,190.610001,192.009995,192.009995,45847
25-04-2023,197.75,197.75,191.669998,192.470001,192.470001,15157
26-04-2023,192.949997,192.949997,191.830002,192.679993,192.679993,15994
27-04-2023,193.009995,194.199997,192.479996,193.610001,193.610001,76762
28-04-2023,196,196,193.600006,195.289993,195.289993,33251
02-05-2023,195.199997,197.169998,195.199997,196.440002,196.440002,53183
03-05-2023,196.589996,197.300003,195.5,195.839996,195.839996,11904
04-05-2023,195.850006,197.75,195.809998,197.440002,197.440002,18867
05-05-2023,197,197.580002,195.509995,196.100006,196.100006,26526
08-05-2023,196.600006,198.429993,196.110001,198.240005,198.240005,48535
09-05-2023,198.630005,199,197.770004,198.139999,198.139999,44763
10-05-2023,198.889999,198.889999,197.220001,198.039993,198.039993,49446
11-05-2023,199.300003,199.300003,197.860001,198.270004,198.270004,22891
12-05-2023,198.270004,198.539993,197.119995,198.339996,198.339996,13335
15-05-2023,192.399994,199.949997,192.399994,199.339996,199.339996,24683
16-05-2023,199.899994,199.899994,198.740005,199.369995,199.369995,55676
17-05-2023,199.300003,199.300003,197.089996,197.820007,197.820007,49741
18-05-2023,198.399994,198.729996,196.710007,196.789993,196.789993,40379
19-05-2023,199,199,196.330002,198.059998,198.059998,20449
22-05-2023,198.889999,199,197.75,198.789993,198.789993,16265
23-05-2023,199.789993,200.25,198.809998,199.679993,199.679993,79743
24-05-2023,200.869995,200.869995,198.600006,199.039993,199.039993,12965
25-05-2023,199.589996,199.699997,198.110001,199.169998,199.169998,16736
26-05-2023,199.899994,200.789993,199.020004,200.470001,200.470001,17179
29-05-2023,200.869995,202.550003,200.869995,202.259995,202.259995,38612
30-05-2023,202.190002,203.080002,201.800003,202.630005,202.630005,44191
31-05-2023,202.259995,202.320007,201.029999,201.729996,201.729996,25266
01-06-2023,202.699997,202.949997,200.389999,200.619995,200.619995,24687
02-06-2023,202.399994,202.399994,200.809998,201.550003,201.550003,12878
05-06-2023,202.570007,202.880005,201.809998,202.669998,202.669998,63870
06-06-2023,202.419998,202.669998,201.199997,201.880005,201.880005,23531
07-06-2023,202.740005,203.5,202.259995,203.350006,203.350006,30528
08-06-2023,203.350006,204,202.220001,202.460007,202.460007,79219
09-06-2023,202.5,203.289993,201.600006,201.919998,201.919998,9450
12-06-2023,208,208,201.809998,202.5,202.5,16817
13-06-2023,203.139999,203.600006,202.570007,203.020004,203.020004,33885
14-06-2023,203.789993,203.990005,202.860001,203.960007,203.960007,21086
15-06-2023,204,204.300003,203,203.179993,203.179993,12464
16-06-2023,203.179993,203.179993,203.179993,204.38,204.38,0
19-06-2023,203.179993,203.179993,203.179993,204.26,203.179993,0
20-06-2023,203.179993,203.179993,203.179993,204.23,203.179993,0
21-06-2023,203.179993,203.179993,203.179993,204.72,203.179993,0
22-06-2023,203.179993,203.179993,203.179993,204.53,203.179993,0
23-06-2023,203.179993,203.179993,203.179993,203.39,203.179993,0
26-06-2023,203.179993,203.179993,203.179993,203.49,203.179993,0
27-06-2023,203.179993,203.179993,203.179993,204.47,203.179993,0
28-06-2023,205.449997,206.990005,204.729996,206.669998,206.669998,58941
30-06-2023,206.669998,206.669998,206.669998,208.54,206.669998,0
03-07-2023,206.669998,206.669998,206.669998,210.18,206.669998,0
04-07-2023,206.669998,206.669998,206.669998,211.33,206.669998,0
05-07-2023,206.669998,206.669998,206.669998,211.3,206.669998,0
06-07-2023,206.669998,206.669998,206.669998,211.64,206.669998,0
07-07-2023,206.669998,206.669998,206.669998,210.82,206.669998,0
10-07-2023,206.669998,206.669998,206.669998,211.11,206.669998,0
11-07-2023,206.669998,206.669998,206.669998,211.76,206.669998,0
12-07-2023,206.669998,206.669998,206.669998,211.55,206.669998,0
13-07-2023,206.669998,206.669998,206.669998,211.68,206.669998,0
14-07-2023,206.669998,206.669998,206.669998,212.66,206.669998,0
17-07-2023,206.669998,206.669998,206.669998,214.11,206.669998,0
18-07-2023,206.669998,206.669998,206.669998,214.91,206.669998,0
19-07-2023,206.669998,206.669998,206.669998,215.9,206.669998,0
20-07-2023,206.669998,206.669998,206.669998,217.2,206.669998,0
21-07-2023,206.669998,206.669998,206.669998,215.11,206.669998,0
24-07-2023,206.669998,206.669998,206.669998,215.95,206.669998,0
25-07-2023,206.669998,206.669998,206.669998,214.8,206.669998,0
26-07-2023,206.669998,206.669998,206.669998,216.11,206.669998,0
27-07-2023,206.669998,206.669998,206.669998,214.67,206.669998,0
28-07-2023,206.669998,206.669998,206.669998,214.37,206.669998,0
31-07-2023,206.669998,206.669998,206.669998,215.17,206.669998,0
01-08-2023,206.669998,206.669998,206.669998,215.01,206.669998,0
02-08-2023,206.669998,206.669998,206.669998,213.07,206.669998,0
03-08-2023,206.669998,206.669998,206.669998,211.44,206.669998,0
04-08-2023,206.669998,206.669998,206.669998,213.08,206.669998,0
07-08-2023,206.669998,206.669998,206.669998,213.9,206.669998,0
08-08-2023,206.669998,206.669998,206.669998,213.46,206.669998,0
09-08-2023,206.669998,206.669998,206.669998,214.34,206.669998,0
10-08-2023,206.669998,206.669998,206.669998,213.69,206.669998,0
11-08-2023,206.669998,206.669998,206.669998,212.74,206.669998,0
14-08-2023,206.669998,206.669998,206.669998,212.41,206.669998,0
16-08-2023,206.669998,206.669998,206.669998,212.08,206.669998,0
17-08-2023,206.669998,206.669998,206.669998,211.73,206.669998,0
18-08-2023,206.669998,206.669998,206.669998,211.23,206.669998,0
21-08-2023,206.669998,206.669998,206.669998,212.22,206.669998,0
22-08-2023,206.669998,206.669998,206.669998,211.94,206.669998,0
23-08-2023,206.669998,206.669998,206.669998,212.55,206.669998,0
24-08-2023,206.669998,206.669998,206.669998,211.54,206.669998,0
25-08-2023,206.669998,206.669998,206.669998,210.51,206.669998,0
28-08-2023,206.669998,206.669998,206.669998,211.17,206.669998,0
29-08-2023,206.669998,206.669998,206.669998,211.18,206.669998,0
30-08-2023,206.669998,206.669998,206.669998,211.26,206.669998,0
31-08-2023,206.669998,206.669998,206.669998,210.97,206.669998,0
01-09-2023,206.669998,206.669998,206.669998,212.18,206.669998,0
04-09-2023,206.669998,206.669998,206.669998,213.41,206.669998,0
05-09-2023,206.669998,206.669998,206.669998,213.63,206.669998,0
06-09-2023,206.669998,206.669998,206.669998,213.92,206.669998,0
07-09-2023,206.669998,206.669998,206.669998,215,206.669998,0
08-09-2023,206.669998,206.669998,206.669998,215.9,206.669998,0
11-09-2023,206.669998,206.669998,206.669998,216.87,206.669998,0
12-09-2023,206.669998,206.669998,206.669998,218.12,206.669998,0
13-09-2023,206.669998,206.669998,206.669998,219.16,206.669998,0
14-09-2023,206.669998,206.669998,206.669998,219.94,206.669998,0
15-09-2023,206.669998,206.669998,206.669998,220.77,206.669998,0
18-09-2023,206.669998,206.669998,206.669998,219.9,206.669998,0
20-09-2023,206.669998,206.669998,206.669998,217.66,206.669998,0
21-09-2023,206.669998,206.669998,206.669998,215.82,206.669998,0
22-09-2023,206.669998,206.669998,206.669998,215.02,206.669998,0
25-09-2023,206.669998,206.669998,206.669998,215.17,206.669998,0
26-09-2023,206.669998,206.669998,206.669998,215.02,206.669998,0
27-09-2023,206.669998,206.669998,206.669998,215.64,206.669998,0
28-09-2023,206.669998,206.669998,206.669998,213.96,206.669998,0
29-09-2023,206.669998,206.669998,206.669998,215.31,206.669998,0
03-10-2023,206.669998,206.669998,206.669998,213.72,206.669998,0
04-10-2023,206.669998,206.669998,206.669998,212.54,206.669998,0
05-10-2023,206.669998,206.669998,206.669998,213.84,206.669998,0
06-10-2023,206.669998,206.669998,206.669998,214.89,206.669998,0
09-10-2023,206.669998,206.669998,206.669998,213.39,206.669998,0
10-10-2023,206.669998,206.669998,206.669998,215.42,206.669998,0
11-10-2023,206.669998,206.669998,206.669998,217.53,206.669998,0
12-10-2023,206.669998,206.669998,206.669998,216.41,206.669998,0
13-10-2023,206.669998,206.669998,206.669998,215.7,206.669998,0
16-10-2023,206.669998,206.669998,206.669998,215.7,206.669998,0
17-10-2023,206.669998,206.669998,206.669998,216.54,206.669998,0
18-10-2023,206.669998,206.669998,206.669998,215.04,206.669998,0
19-10-2023,206.669998,206.669998,206.669998,214.52,206.669998,0
20-10-2023,206.669998,206.669998,206.669998,213.69,206.669998,0
23-10-2023,206.669998,206.669998,206.669998,212.32,206.669998,0
25-10-2023,206.669998,206.669998,206.669998,209.41,206.669998,0
26-10-2023,206.669998,206.669998,206.669998,209.06,206.669998,0
27-10-2023,206.669998,206.669998,206.669998,208.56,206.669998,0
30-10-2023,206.669998,206.669998,206.669998,209.48,206.669998,0
31-10-2023,206.669998,206.669998,206.669998,209.06,206.669998,0
01-11-2023,206.669998,206.669998,206.669998,207.94,206.669998,0
02-11-2023,206.669998,206.669998,206.669998,210.03,206.669998,0
03-11-2023,206.669998,206.669998,206.669998,210.45,206.669998,0
06-11-2023,206.669998,206.669998,206.669998,212.44,206.669998,0
07-11-2023,206.669998,206.669998,206.669998,212.45,206.669998,0
08-11-2023,206.669998,206.669998,206.669998,212.52,206.669998,0
09-11-2023,206.669998,206.669998,206.669998,212.53,206.669998,0
10-11-2023,206.669998,206.669998,206.669998,212.88,206.669998,0
13-11-2023,206.669998,206.669998,206.669998,211.84,206.669998,0
15-11-2023,206.669998,206.669998,206.669998,215.24,206.669998,0
16-11-2023,206.669998,206.669998,206.669998,216.25,206.669998,0
17-11-2023,206.669998,206.669998,206.669998,216.55,206.669998,0
20-11-2023,206.669998,206.669998,206.669998,216.24,206.669998,0
21-11-2023,206.669998,206.669998,206.669998,216.66,206.669998,0
22-11-2023,206.669998,206.669998,206.669998,216.74,206.669998,0
23-11-2023,206.669998,206.669998,206.669998,216.21,206.669998,0
24-11-2023,206.669998,206.669998,206.669998,216.31,206.669998,0
28-11-2023,206.669998,206.669998,206.669998,217.69,206.669998,0
29-11-2023,206.669998,206.669998,206.669998,219.44,206.669998,0
30-11-2023,206.669998,206.669998,206.669998,220.4,206.669998,0
01-12-2023,206.669998,206.669998,206.669998,221.65,206.669998,0
04-12-2023,206.669998,206.669998,206.669998,225.35,206.669998,0
05-12-2023,206.669998,206.669998,206.669998,227.61,206.669998,0
06-12-2023,206.669998,206.669998,206.669998,228.98,206.669998,0
07-12-2023,206.669998,206.669998,206.669998,228.75,206.669998,0
08-12-2023,206.669998,206.669998,206.669998,229.29,206.669998,0
11-12-2023,206.669998,206.669998,206.669998,229.75,206.669998,0
12-12-2023,206.669998,206.669998,206.669998,228.7,206.669998,0
13-12-2023,206.669998,206.669998,206.669998,228.41,206.669998,0
14-12-2023,206.669998,206.669998,206.669998,231.56,206.669998,0
15-12-2023,206.669998,206.669998,206.669998,234.21,206.669998,0
18-12-2023,206.669998,206.669998,206.669998,233.91,206.669998,0
19-12-2023,206.669998,206.669998,206.669998,234.83,206.669998,0
20-12-2023,206.669998,206.669998,206.669998,231.66,206.669998,0
21-12-2023,206.669998,206.669998,206.669998,232.71,206.669998,0
22-12-2023,206.669998,206.669998,206.669998,233.27,206.669998,0
26-12-2023,206.669998,206.669998,206.669998,234.7,206.669998,0
27-12-2023,206.669998,206.669998,206.669998,236.43,206.669998,0
28-12-2023,206.669998,206.669998,206.669998,237.73,206.669998,0
29-12-2023,206.669998,206.669998,206.669998,237.82,206.669998,0
01-01-2024,206.669998,206.669998,206.669998,237.64,206.669998,0
02-01-2024,206.669998,206.669998,206.669998,238.27,206.669998,0
03-01-2024,206.669998,206.669998,206.669998,236.33,206.669998,0
04-01-2024,206.669998,206.669998,206.669998,236.6,206.669998,0
05-01-2024,206.669998,206.669998,206.669998,237.52,206.669998,0
08-01-2024,206.669998,206.669998,206.669998,235.47,206.669998,0
09-01-2024,206.669998,206.669998,206.669998,235.35,206.669998,0
10-01-2024,206.669998,206.669998,206.669998,236.54,206.669998,0
11-01-2024,206.669998,206.669998,206.669998,236.82,206.669998,0
12-01-2024,206.669998,206.669998,206.669998,240.14,206.669998,0
15-01-2024,206.669998,206.669998,206.669998,241.29,206.669998,0
16-01-2024,206.669998,206.669998,206.669998,241.1,206.669998,0
17-01-2024,206.669998,206.669998,206.669998,236.17,206.669998,0
18-01-2024,206.669998,206.669998,206.669998,234.98,206.669998,0
19-01-2024,206.669998,206.669998,206.669998,236.29,206.669998,0
23-01-2024,206.669998,206.669998,206.669998,232.84,206.669998,0
24-01-2024,206.669998,206.669998,206.669998,234.45,206.669998,0
25-01-2024,206.669998,206.669998,206.669998,233.77,206.669998,0
29-01-2024,206.669998,206.669998,206.669998,237.88,206.669998,0
30-01-2024,206.669998,206.669998,206.669998,235.85,206.669998,0
31-01-2024,206.669998,206.669998,206.669998,237.61,206.669998,0
01-02-2024,206.669998,206.669998,206.669998,238,206.669998,0
02-02-2024,206.669998,206.669998,206.669998,239.22,206.669998,0
05-02-2024,206.669998,206.669998,206.669998,238.38,206.669998,0
06-02-2024,206.669998,206.669998,206.669998,240.13,206.669998,0
07-02-2024,206.669998,206.669998,206.669998,239.88,206.669998,0
08-02-2024,206.669998,206.669998,206.669998,237.68,206.669998,0
09-02-2024,206.669998,206.669998,206.669998,238.33,206.669998,0
12-02-2024,206.669998,206.669998,206.669998,236.79,206.669998,0
13-02-2024,206.669998,206.669998,206.669998,238.17,206.669998,0
14-02-2024,206.669998,206.669998,206.669998,239.13,206.669998,0
15-02-2024,206.669998,206.669998,206.669998,239.95,206.669998,0
16-02-2024,206.669998,206.669998,206.669998,240.93,206.669998,0
19-02-2024,206.669998,206.669998,206.669998,242.24,206.669998,0
20-02-2024,206.669998,206.669998,206.669998,242.55,206.669998,0
21-02-2024,206.669998,206.669998,206.669998,241.27,206.669998,0
22-02-2024,206.669998,206.669998,206.669998,242.97,206.669998,0
23-02-2024,206.669998,206.669998,206.669998,243.2,206.669998,0
