company_name,symbol,sector,date_added
Adani Enterprises,ADANIENT.NS,Diversified,30 September 2022
Adani Ports & SEZ,ADANIPORTS.NS,Infrastructure,28 September 2015
Apollo Hospitals,APOLLOHOSP.NS,Healthcare,31 March 2022
Asian Paints,ASIANPAINT.NS,Consumer Durables,27 April 2012
Axis Bank,AXISBANK.NS,Banking,27 March 2009
Bajaj Auto,BAJAJ-AUTO.NS,Automobile,1 October 2010
Bajaj Finance,BAJFINANCE.NS,Financial Services,29 September 2017
Bajaj Finserv,BAJAJFINSV.NS,Financial Services,2 April 2018
Bharat Petroleum,BPCL.NS,Energy - Oil & Gas,28 October 2002
Bharti Airtel,BHARTIARTL.NS,Telecommunication,1 March 2004
Britannia Industries,BRITANNIA.NS,Consumer Goods,29 March 2019
Cipla,CIPLA.NS,Pharmaceuticals,7 October 1998
Coal India,COALINDIA.NS,Energy - Coal,10 October 2011
Divi's Laboratories,DIVISLAB.NS,Pharmaceuticals,25 September 2020
Dr. Reddy's Laboratories,DRREDDY.NS,Pharmaceuticals,1 October 2010
Eicher Motors,EICHERMOT.NS,Automobile,1 April 2016
Grasim Industries,GRASIM.NS,Materials,2 April 2018
HCLTech,HCLTECH.NS,Information Technology,28 October 2002
HDFC Bank,HDFCBANK.NS,Banking,22 April 1996
HDFC Life,HDFCLIFE.NS,Financial Services,31 July 2020
Hero MotoCorp,HEROMOTOCO.NS,Automobile,7 October 1998
Hindalco Industries,HINDALCO.NS,Metals,22 April 1996
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods,22 April 1996
ICICI Bank,ICICIBANK.NS,Banking,25 January 2002
IndusInd Bank,INDUSINDBK.NS,Banking,1 April 2013
Infosys,INFY.NS,Information Technology,7 October 1998
ITC,ITC.NS,Consumer Goods,22 April 1996
JSW Steel,JSWSTEEL.NS,Metals,28 September 2018
Kotak Mahindra Bank,KOTAKBANK.NS,Banking,8 April 2010
Larsen & Toubro,LT.NS,Construction,10 December 2004
LTIMindtree,LTIM.NS,Information Technology,13 July 2023
Mahindra & Mahindra,M&M.NS,Automobile,18 September 1996
Maruti Suzuki,MARUTI.NS,Automobile,1 March 2004
Nestlé India,NESTLEIND.NS,Consumer Goods,27 September 2019
NTPC,NTPC.NS,Energy - Power,24 September 2007
Oil and Natural Gas Corporation,ONGC.NS,Energy - Oil & Gas,12 April 2004
Power Grid,POWERGRID.NS,Energy - Power,14 March 2008
Reliance Industries,RELIANCE.NS,Diversified,22 April 1996
SBI Life Insurance Company,SBILIFE.NS,Financial Services,25 September 2020
Shriram Finance,SHRIRAMFIN.NS,Financial Services,28 March 2024
State Bank of India,SBIN.NS,Banking,22 April 1996
Sun Pharma,SUNPHARMA.NS,Pharmaceuticals,17 January 2002
Tata Motors,TATAMOTORS.NS,Automobile,22 April 1996
Tata Steel,TATASTEEL.NS,Metals,22 April 1996
Tata Consultancy Services,TCS.NS,Information Technology,25 February 2005
Tata Consumer Products,TATACONSUM.NS,Consumer Goods,31 March 2021
Tech Mahindra,TECHM.NS,Information Technology,28 March 2014
Titan Company,TITAN.NS,Consumer Durables,2 April 2018
UltraTech Cement,ULTRACEMCO.NS,Materials,28 September 2012
Wipro,WIPRO.NS,Information Technology,27 September 2013
